camera_id,camera_model,camera_sensitivity_raw,camera_operating_temperature_raw,camera_data_transfer_interface,camera_case_type,camera_resolution_raw,camera_lens_type,camera_IR_illumination,camera_compression_codec,camera_memory_card_support,camera_audio_inputs_outputs,camera_alarm_inputs_outputs,camera_SATA_quantity_capacity,camera_independent_video_outputs,camera_data_transfer_rate,camera_lightning_protection,camera_power_raw,camera_power_supply_raw,camera_comment,camera_sensitivity_day_x10000,camera_operating_temperature_min,camera_operating_temperature_max,camera_resolution,camera_power_x10,camera_power_supply_poe
66,LTV-3CND80-M2812,"0.0025 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Outdoor dome,8 Mp,MTZ 2.8-12,50,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,True,9 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,25,-50,60,8,90,True
67,LTV-3CND20-M2812-HB,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-60…+60,RJ45,Outdoor dome,2 Mp,MTZ 2.8-12,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,Mic/1,2/1,-,-,1x100  Мб/с,False,10 Вт,"12В (DC) (±25 %), PoE (IEEE802.3af);",Сертификат 969,5,-60,60,2,100,True
68,LTV-3CND40-M2812-HB,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-60…+60,RJ45,Outdoor dome,4 Mp,MTZ 2.8-12,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,Mic/1,2/1,-,-,1x100  Мб/с,False,10 Вт,"12В (DC) (±25 %), PoE (IEEE802.3af);",Сертификат 969,5,-60,60,4,100,True
69,LTV-3CND80-M2812-HB,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-60…+60,RJ45,Outdoor dome,8 Mp,MTZ 2.8-12,40,"H.265, H.264, Ultra265, MJPEG",MicroSD,Mic/1,2/1,-,-,1x100  Мб/с,False,10 Вт,"12В (DC) (±25 %), PoE (IEEE802.3af);",Сертификат 969,5,-60,60,8,100,True
70,LTV-3CNT20-F28,"0.001 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,2 Mp,FIX 2.8,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,10,-40,60,2,50,True
71,LTV-3CNT20-F40,"0.001 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,2 Mp,FIX 4.0,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,10,-40,60,2,50,True
72,LTV-3CNT20-M2713,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,2 Mp,MTZ 2.7-13.5,40,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,7 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,5,-40,60,2,70,True
73,LTV-3CNT40-F28,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,4 Mp,FIX 2.8,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,4 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-40,60,4,40,True
74,LTV-3CNT40-F40,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,4 Mp,FIX 4.0,30,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,4 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-40,60,4,40,True
75,LTV-3CNT40-M2713,"0.002 к (ц, F1.2, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,4 Mp,MTZ 2.7-13.5,40,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,7 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-40,60,4,70,True
76,LTV-3CNT40-M2812-L,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Eyeball,4 Mp,MTZ 2.8-12,40,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,False,7 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,5,-40,60,4,70,True
77,LTV-3CNT50-F1,"0.01 к (ц, F2.0, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Bullet,5 Mp,FIX 1.68,20,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,"5,5 Вт","12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,100,-40,60,5,55,True
78,LTV-3CNT80-F1,"0.01 к (ц, F2.0, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Bullet,8 Mp,FIX 1.68,20,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,7 Вт,"12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,100,-40,60,8,70,True
79,LTV-3CNF50-F1,"0.01 к (ц, F2.0, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Fisheye,5 Mp,фиксированный 1.4,10,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD 256 Гб,1 / 1,1/1,-,-,1x100  Мб/с,True,"8,5 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,100,-40,60,5,85,True
80,LTV-3CNF121-F1,"0.05 к (ц, F2.4, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Fisheye,12 Mp,фиксированный 1.8,10,"H.265, H.264(Base, Main, High), Ultra265, MJPEG",MicroSD 256 Гб,1 / 1,1/1,-,-,1x100  Мб/с,True,"11,7 Вт",12В (DC) / PoE (IEEE 802.3af),Сертификат 969,500,-40,60,12,117,True
81,LTV-5CNS20-RU,"0.002 к (д)/ 0.001 к (), WDR 120 дБ",-10…+50,RJ45,Box,2 Mp,-,0,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,1 / 1,1/1,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),,20,-10,50,2,50,True
82,LTV-5CNS50-RU,"0.002 к (д)/ 0.001 к (), WDR 120 дБ",-10…+50,RJ45,Box,5 Mp,-,0,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,1 / 1,1/1,-,-,1x100  Мб/с,False,5 Вт,12В (DC) / PoE (IEEE 802.3af),,20,-10,50,5,50,True
83,LTV-5CNM20-F28-RU,"0.002 к (д), 120 дБ",-45…+50,RJ45,Box,2 Mp,FIX 2.8,10,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,1 / 1,-,-,-,1x100  Мб/с,False,"7,5 Вт",12В (DC) / PoE (IEEE 802.3af),,20,-45,50,2,75,True
84,LTV-5CNM50-F28-RU,"0.006 к (д), 120 дБ",-45…+50,RJ45,Box,5 Mp,FIX 2.8,10,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,1 / 1,-,-,-,1x100  Мб/с,False,"7,5 Вт",12В (DC) / PoE (IEEE 802.3af),,60,-45,50,5,75,True
85,LTV-5CNB20-F28-RU,"0.002 к (д)/ 0.001 к (), WDR 120 дБ",-40…+50,RJ45,Bullet,2 Mp,FIX 2.8,15,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,"7,3 Вт",12В (DC) / PoE (IEEE 802.3af),,20,-40,50,2,73,True
86,LTV-5CNB20-M2812-F-RU,"0.002 к (д)/ 0.001 к (), WDR 120 дБ",-40…+50,RJ45,Bullet,2 Mp,MTZ 2.8-12,25,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,"10,6 Вт",12В (DC) / PoE (IEEE 802.3af),,20,-40,50,2,106,True
87,LTV-5CNB20-M0550-RU,"0.002 к (д)/ 0.001 к (), WDR 120 дБ",-45…+50,RJ45,Bullet,2 Mp,MTZ 5-50,60,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,"9,8 Вт",12В (DC) / PoE (IEEE 802.3af),,20,-45,50,2,98,True
88,LTV-5CNB50-M2812-RU,"0.006 к (д)/ 0.003 к (), WDR 120 дБ",-40…+50,RJ45,Bullet,5 Mp,MTZ 2.8-12,25,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,"10,6 Вт",12В (DC) / PoE (IEEE 802.3af),,60,-40,50,5,106,True
89,LTV-5CNB50-M2813-H-RU,"0.006 к (д)/ 0.003 к (), WDR 120 дБ",-60…+50,RJ45,Bullet,5 Mp,MTZ 2.8-13,120,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,24 Вт,12В (DC) / PoE (IEEE 802.3af),,60,-60,50,5,240,True
90,LTV-5CND20-M2812-RU,"0.001 к (д)/ 0.0005 к (), WDR 120 дБ",-45…+50,RJ45,Dome,2 Mp,MTZ 2.8-12,35,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,"11,1 Вт",12В (DC) / PoE (IEEE 802.3af),,10,-45,50,2,111,True
91,LTV-5CND50-M2812-RU,"0.006 к (д), WDR 120 дБ",-45…+50,RJ45,Dome,5 Mp,MTZ 2.8-12,35,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",MicroSD 256 Гб,-,-,-,-,1x100  Мб/с,False,"11,8 Вт",12В (DC) / PoE (IEEE 802.3af),,60,-45,50,5,118,True
92,LTV-1CNSD20-Z5-W,"0.003 к (ц, F1.2), WDR (120 дБ)",-20…+50,RJ45,PTZ,2 Mp,5х TF,30,"Ultra 265, H.265, H.264, MJPEG",microSD,Mic/динамик,1/1,-,-,1x100  Мб/с,True,15Вт,DC12V\PoE (IEEE 802.3at),,30,-20,50,2,150,True
93,LTV-1CNSD50-Z5-W,"0.003 к (ц, F1.2), WDR (120 дБ)",-20…+50,RJ45,PTZ,5 Mp,5х TF,30,"Ultra 265, H.265, H.264, MJPEG",microSD,Mic/динамик,1/1,-,-,1x100  Мб/с,True,15Вт,DC12V\PoE (IEEE 802.3at),,30,-20,50,5,150,True
94,LTV-3CNSD20-Z16-F,"0.003 к (ц, F1.78), WDR (120 дБ)",-40…+50,RJ45,PTZ,2 Mp,16х TF,100,"Ultra 265, H.265, H.264, MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,True,23Вт,DC12V\PoE (IEEE 802.3at),Сертификат 969,30,-40,50,2,230,True
95,LTV-3CNSD40-Z16,"0.005 к (ц, F1.78-3,73), WDR (120 дБ)",-40…+50,RJ45,PTZ,4 Mp,16х TF,100,"Ultra 265, H.265, H.264, MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,True,23Вт,DC12V\PoE (IEEE 802.3at),Сертификат 969,50,-40,50,4,230,True
96,LTV-3CNSD21-Z25-F,"0.001 к (ц, F1.5), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,2 Mp,25х TF,150,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,False,25 Вт,DC12V\PoE+,Сертификат 969,10,-55,65,2,250,True
97,LTV-3CNSD21-Z33-F,"0.001 к (ц, F1.5), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,2 Mp,33х TF,150,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,False,41 Вт,DC12V\PoE+,Сертификат 969,10,-55,65,2,410,True
98,LTV-3CNSD40-Z25,"0.003 к (ц, F1.5), WDR (120 дБ)",-40…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,25х TF,100,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,False,25 Вт,"24В (AC) (±25 %), 24В (DC) (±25 %) PoE (IEEE802.3at), ≤25 Вт",Сертификат 969,30,-40,65,4,250,True
99,LTV-3CNSD40-Z33,"0.003 к (ц, F1.5), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,33х TF,150,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,False,41 Вт,"12В (DC) (±25 %,3A), PoE+(IEEE802.3at), ≤21 Вт",Сертификат 969,30,-55,65,4,410,True
100,LTV-3CNSD80-Z25,"0.003 к (ц, F1.5), WDR (120 дБ)",-40…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,25х TF,200,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,2/1,-,-,1x100  Мб/с,False,58 Вт,"24В (DC) ±25 % 24В (АC) ±25 %, PoE",Сертификат 969,30,-40,65,4,580,True
101,LTV-3CNSD40-Z40,"0.0005 к (ц, F1.2), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,40х TF,250,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,7/2,-,-,1x100  Мб/с,False,61 Вт,"24В (DC) ±25 % 24В (АC) ±25 %, PoE",Сертификат 969,5,-55,65,4,610,True
102,LTV-3CNSD40-Z40-HFC,"0.0003 к (ц, F1.2), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,40х TF,250,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,7/2,-,-,1x100  Мб/с,False,61 Вт,"PoE, DC24V±25% AC24V±25%, До 67Вт",Сертификат 969,3,-55,65,4,610,True
103,LTV-3CNSD20-Z45-HF,"0.0005 к (ц, F1.2), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,40х TF,250,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,7/2,-,-,1x100  Мб/с,False,61 Вт,"24В (DC) ±25 % 24В (АC) ±25 %, PoE",Сертификат 969,5,-55,65,4,610,True
104,LTV-3CNSD40-Z40-Z5-Z4-H,"0.0005 к (ц, F1.2), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,4 Mp,"40х, x5, x4 TF",250,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,7/2,-,-,"1x100  Мб/с, 1xSFP 10/100/1000 Мбит/с",False,61 Вт,DC48V±25%  ≤88 Вт,Сертификат 969,5,-55,65,4,610,False
105,LTV-3CNP20-Z44-CF,"0.0005 к (ц, F1.2), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,2 Mp,44х TF,400,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,7/2,-,-,1x100  Мб/с,False,103 Вт,24 В ±15 % (DC) 48 В ±25 % (DC) 24 В ±25 % (АC),Сертификат 969,5,-55,65,2,1030,False
106,LTV-3CNP20-Z55-CF,"0.002 к (ц, F1.8), WDR (120 дБ)",-55…+65,"RJ45, BNC, RS-485",PTZ,2 Mp,55х TF,1000,"H.265, Ultra 265, H.264 (Base, Main, High), MJPEG",microSD,1/1,7/2,-,-,1x100  Мб/с,False,112 Вт,24 В ±15 % (DC) 48 В ±25 % (DC) 24 В ±25 % (АC),Сертификат 969,20,-55,65,2,1120,False
107,LTV-5CNSD20-Z20-RU,"0.002 к, WDR (120 дБ)",-40…+65,RJ45,PTZ,2 Mp,20х TF,60,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",microSD,1/1,1/1,-,-,1x100  Мб/с,False,50Вт,24В (AC) (±25 %),Сертификат 969 ,20,-40,65,2,500,False
108,LTV-5CNSD20-Z33-RU,"0.002 к, WDR (120 дБ)",-40…+65,RJ45,PTZ,2 Mp,33х TF,60,"H.265/H.264, H.265/MJPEG, Н.264/MJPEG",microSD,1/1,1/1,-,-,1x100  Мб/с,False,50Вт,24В (AC) (±25 %),Сертификат 969,20,-40,65,2,500,False
